Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc,SApM,Str.Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg
 Chris Dempsey Record: 11-5-0,"Height:5' 10""",Weight:185 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Sep 08, 1987  ",SLpM:2.25,Str. Acc.:32%,SApM:2.82,Str. Def:65%,,TD Avg.:2.64,TD Acc.:23%,TD Def.:16%,Sub. Avg.:0.0,"
"
 Nick Denis Record: 11-3-0,"Height:5' 7""",Weight:135 lbs.,Reach:--,STANCE:Orthodox,"DOB:Oct 11, 1983  ",SLpM:6.54,Str. Acc.:53%,SApM:5.42,Str. Def:36%,,TD Avg.:2.80,TD Acc.:100%,TD Def.:80%,Sub. Avg.:0.0,"
"
 Thomas Denny Record: 27-21-1,"Height:5' 10""",Weight:170 lbs.,Reach:--,STANCE:Orthodox,"DOB:Apr 19, 1971  ",SLpM:2.36,Str. Acc.:45%,SApM:4.69,Str. Def:40%,,TD Avg.:1.48,TD Acc.:17%,TD Def.:42%,Sub. Avg.:1.5,"
"
 Robert Densley Record: 9-10-0,"Height:5' 9""",Weight:155 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:1.81,Str. Acc.:47%,SApM:0.40,Str. Def:60%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Jason Dent Record: 22-13-0,"Height:5' 10""",Weight:155 lbs.,"Reach:71""",STANCE:Orthodox,"DOB:Jun 12, 1980  ",SLpM:2.01,Str. Acc.:39%,SApM:3.70,Str. Def:62%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:26%,Sub. Avg.:1.4,"
"
 Mackenzie Dern Record: 11-1-0,"Height:5' 4""",Weight:115 lbs.,"Reach:63""",STANCE:Orthodox,"DOB:Mar 24, 1993  ",SLpM:3.64,Str. Acc.:38%,SApM:3.57,Str. Def:61%,,TD Avg.:0.51,TD Acc.:10%,TD Def.:0%,Sub. Avg.:2.3,"
"
 Booker DeRousse Record: 6-5-0,"Height:6' 2""",Weight:205 lbs.,Reach:--,STANCE:  ,"DOB:Mar 23, 1981  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Tony DeSouza Record: 11-4-0,"Height:6' 0""",Weight:170 lbs.,"Reach:70""",STANCE:Southpaw,"DOB:Jul 26, 1974  ",SLpM:1.12,Str. Acc.:52%,SApM:1.57,Str. Def:41%,,TD Avg.:2.25,TD Acc.:42%,TD Def.:40%,Sub. Avg.:1.5,"
"
 Cory Devela Record: 16-7-0,"Height:5' 0""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:4.07,Str. Acc.:41%,SApM:4.00,Str. Def:47%,,TD Avg.:1.07,TD Acc.:12%,TD Def.:62%,Sub. Avg.:0.0,"
"
 John Devine Record: 6-4-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:1.52,Str. Acc.:18%,SApM:2.28,Str. Def:57%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Edwin DeWees Record: 38-17-0 (1 NC),"Height:6' 1""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 07, 1982  ",SLpM:1.53,Str. Acc.:33%,SApM:6.19,Str. Def:39%,,TD Avg.:2.18,TD Acc.:66%,TD Def.:0%,Sub. Avg.:3.3,"
"
 Alessio Di Chirico Record: 13-5-0,"Height:6' 0""",Weight:185 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Dec 12, 1989  ",SLpM:3.30,Str. Acc.:41%,SApM:3.24,Str. Def:62%,,TD Avg.:1.62,TD Acc.:45%,TD Def.:83%,Sub. Avg.:0.0,"
"
 Micol Di Segni Record: 7-3-0,"Height:5' 3""",Weight:115 lbs.,"Reach:60""",STANCE:Orthodox,"DOB:Dec 29, 1987  ",SLpM:7.47,Str. Acc.:40%,SApM:5.87,Str. Def:33%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:37%,Sub. Avg.:0.0,"
"
 Cyrille Diabate Record: 19-10-1,"Height:6' 6""",Weight:205 lbs.,"Reach:81""",STANCE:Southpaw,"DOB:Oct 06, 1973  ",SLpM:4.06,Str. Acc.:71%,SApM:1.78,Str. Def:60%,,TD Avg.:1.17,TD Acc.:83%,TD Def.:53%,Sub. Avg.:0.2,"
"
 Thomas Diagne Record: 6-6-1,"Height:6' 1""",Weight:154 lbs.,Reach:--,STANCE:  ,"DOB:Sep 03, 1983  ",SLpM:4.53,Str. Acc.:48%,SApM:4.53,Str. Def:63%,,TD Avg.:2.00,TD Acc.:100%,TD Def.:66%,Sub. Avg.:0.0,"
"
 Marc Diakiese Record: 14-4-0,"Height:5' 10""",Weight:155 lbs.,"Reach:73""",STANCE:Orthodox,"DOB:Mar 16, 1993  ",SLpM:3.08,Str. Acc.:39%,SApM:2.79,Str. Def:54%,,TD Avg.:2.16,TD Acc.:36%,TD Def.:62%,Sub. Avg.:0.0,"
"
 Tyler Diamond Record: 9-1-0,"Height:5' 7""",Weight:145 lbs.,"Reach:69""",STANCE:Orthodox,"DOB:Mar 18, 1991  ",SLpM:3.40,Str. Acc.:47%,SApM:2.53,Str. Def:44%,,TD Avg.:3.00,TD Acc.:75%,TD Def.:70%,Sub. Avg.:0.0,"
"
 Eldo Xavier Dias Record: 0-1-0,"Height:5' 11""",Weight:180 lbs.,Reach:--,STANCE:  ,"DOB:Jul 16, 1964  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Rafael Dias Record: 17-12-2,"Height:5' 9""",Weight:145 lbs.,Reach:--,STANCE:Orthodox,"DOB:Oct 20, 1979  ",SLpM:1.13,Str. Acc.:27%,SApM:2.19,Str. Def:60%,,TD Avg.:3.17,TD Acc.:47%,TD Def.:100%,Sub. Avg.:1.2,"
"
 Hacran Dias Record: 23-6-1,"Height:5' 8""",Weight:155 lbs.,"Reach:69""",STANCE:Orthodox,"DOB:Jun 16, 1984  ",SLpM:2.08,Str. Acc.:41%,SApM:3.31,Str. Def:55%,,TD Avg.:2.50,TD Acc.:39%,TD Def.:76%,Sub. Avg.:0.5,"
"
 Nick Diaz Record: 26-9-0 (2 NC),"Height:6' 1""",Weight:185 lbs.,"Reach:76""",STANCE:Southpaw,"DOB:Aug 02, 1983  ",SLpM:5.43,Str. Acc.:42%,SApM:3.56,Str. Def:61%,,TD Avg.:1.32,TD Acc.:33%,TD Def.:60%,Sub. Avg.:1.0,"
"
 Nate Diaz Record: 21-13-0,"Height:6' 0""",Weight:170 lbs.,"Reach:76""",STANCE:Southpaw,"DOB:Apr 16, 1985  ",SLpM:4.51,Str. Acc.:45%,SApM:3.73,Str. Def:52%,,TD Avg.:1.10,TD Acc.:30%,TD Def.:41%,Sub. Avg.:1.3,"
"
 Michael Diaz Record: 1-2-0,Height:--,Weight:260 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Ryan Diaz Record: 13-14-0,Height:--,Weight:145 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Adrian Diaz Record: 11-4-1,"Height:5' 10""",Weight:145 lbs.,Reach:--,STANCE:Southpaw,"DOB:Apr 26, 1988  ",SLpM:0.48,Str. Acc.:42%,SApM:3.84,Str. Def:51%,,TD Avg.:2.40,TD Acc.:50%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Mark Dickman Record: 11-3-0,"Height:5' 9""",Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:Jul 19, 1984  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Josh Diekmann Record: 15-8-0 (1 NC),"Height:5' 4""",Weight:246 lbs.,Reach:--,STANCE:  ,"DOB:Oct 09, 1976  ",SLpM:0.28,Str. Acc.:5%,SApM:8.17,Str. Def:25%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Kyle Dietz Record: 5-2-0,"Height:5' 8""",Weight:135 lbs.,Reach:--,STANCE:Orthodox,"DOB:Apr 29, 1986  ",SLpM:1.82,Str. Acc.:45%,SApM:2.08,Str. Def:62%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Seth Dikun Record: 9-8-0,"Height:5' 10""",Weight:135 lbs.,"Reach:69""",STANCE:Orthodox,"DOB:Aug 05, 1980  ",SLpM:1.45,Str. Acc.:26%,SApM:2.18,Str. Def:55%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:45%,Sub. Avg.:0.9,"
"
 TJ Dillashaw Record: 18-4-0,"Height:5' 6""",Weight:135 lbs.,"Reach:67""",STANCE:Orthodox,"DOB:Feb 07, 1986  ",SLpM:5.26,Str. Acc.:41%,SApM:3.27,Str. Def:63%,,TD Avg.:1.63,TD Acc.:30%,TD Def.:86%,Sub. Avg.:0.8,"
"
 Ralph Dillon Record: 0-2-1,"Height:6' 2""",Weight:205 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.34,Str. Acc.:14%,SApM:0.69,Str. Def:60%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Drew Dimanlig Record: 3-4-0,Height:--,Weight:185 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:3.70,Str. Acc.:73%,SApM:3.17,Str. Def:20%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Rodolfo Marques Diniz Record: 23-9-1,"Height:5' 6""",Weight:135 lbs.,Reach:--,STANCE:  ,"DOB:Jan 23, 1984  ",SLpM:1.08,Str. Acc.:32%,SApM:2.36,Str. Def:33%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:1.8,"
"
 Helio Dipp Record: 6-3-0,"Height:6' 5""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.60,Str. Acc.:25%,SApM:1.80,Str. Def:62%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Rico DiSciullo Record: 9-2-0 (1 NC),"Height:5' 8""",Weight:135 lbs.,Reach:--,STANCE:Orthodox,"DOB:Oct 12, 1986  ",SLpM:1.71,Str. Acc.:33%,SApM:4.41,Str. Def:56%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Matt Dixon Record: 9-1-0,"Height:5' 10""",Weight:170 lbs.,"Reach:75""",STANCE:Switch,"DOB:Oct 09, 1995  ",SLpM:1.97,Str. Acc.:43%,SApM:4.56,Str. Def:37%,,TD Avg.:3.06,TD Acc.:30%,TD Def.:0%,Sub. Avg.:0.0,"
"
 John Dixson Record: 15-22-0,"Height:6' 0""",Weight:275 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Anthony Do Record: 4-2-0,"Height:5' 4""",Weight:125 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Russell Doane Record: 15-8-0,"Height:5' 7""",Weight:135 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Aug 13, 1986  ",SLpM:1.75,Str. Acc.:40%,SApM:1.68,Str. Def:53%,,TD Avg.:2.11,TD Acc.:45%,TD Def.:52%,Sub. Avg.:0.8,"
"
 Drew Dober Record: 23-11-0 (1 NC),"Height:5' 8""",Weight:155 lbs.,"Reach:70""",STANCE:Southpaw,"DOB:Oct 19, 1988  ",SLpM:4.38,Str. Acc.:40%,SApM:4.08,Str. Def:52%,,TD Avg.:0.82,TD Acc.:18%,TD Def.:55%,Sub. Avg.:0.1,"
"
 Shana Dobson Record: 4-5-0,"Height:5' 6""",Weight:125 lbs.,"Reach:69""",STANCE:Orthodox,"DOB:Mar 30, 1989  ",SLpM:3.34,Str. Acc.:37%,SApM:5.20,Str. Def:50%,,TD Avg.:0.84,TD Acc.:50%,TD Def.:14%,Sub. Avg.:0.0,"
"
 AJ Dobson Record: 5-0-0 (1 NC),"Height:6' 2""",Weight:170 lbs.,Reach:--,STANCE:  ,"DOB:Jan 18, 1992  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 David Dodd Record: 4-7-0,"Height:6' 2""",Weight:200 lbs.,Reach:--,STANCE:Orthodox,"DOB:Sep 22, 1973  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 John Dodson Record: 22-12-0,"Height:5' 3""",Weight:135 lbs.,"Reach:66""",STANCE:Orthodox,"DOB:Sep 26, 1984  ",SLpM:3.20,Str. Acc.:40%,SApM:3.58,Str. Def:61%,,TD Avg.:0.71,TD Acc.:28%,TD Def.:82%,Sub. Avg.:0.0,"
"
 Joe Doerksen Record: 51-16-0,"Height:6' 0""",Weight:185 lbs.,"Reach:75""",STANCE:Orthodox,"DOB:Oct 09, 1977  ",SLpM:1.43,Str. Acc.:42%,SApM:2.79,Str. Def:50%,,TD Avg.:2.02,TD Acc.:33%,TD Def.:33%,Sub. Avg.:2.3,"
"
 Mike Dolce Record: 5-10-0,"Height:5' 11""",Weight:185 lbs.,Reach:--,STANCE:  ,"DOB:Apr 15, 1976  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Roman Dolidze Record: 9-1-0,"Height:6' 2""",Weight:205 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Jul 15, 1988  ",SLpM:2.36,Str. Acc.:48%,SApM:1.40,Str. Def:64%,,TD Avg.:2.74,TD Acc.:52%,TD Def.:37%,Sub. Avg.:1.5,"
"
 Cameron Dollar Record: 11-5-0,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,"DOB:May 12, 1987  ",SLpM:5.04,Str. Acc.:38%,SApM:2.94,Str. Def:61%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 CB Dollaway Record: 17-9-0,"Height:6' 2""",Weight:185 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Aug 10, 1983  ",SLpM:2.65,Str. Acc.:47%,SApM:2.58,Str. Def:54%,,TD Avg.:3.55,TD Acc.:54%,TD Def.:62%,Sub. Avg.:1.2,"
"
 Dennis Dombrow Record: 7-5-0 (1 NC),Height:--,Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:Mar 17, 1986  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 OJ Dominguez Record: 0-1-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 John Donaldson Record: 2-2-0,"Height:5' 8""",Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:Jul 09, 1992  ",SLpM:1.21,Str. Acc.:23%,SApM:4.22,Str. Def:51%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Cody Donovan Record: 8-5-0,"Height:6' 3""",Weight:205 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Feb 20, 1981  ",SLpM:5.61,Str. Acc.:59%,SApM:5.44,Str. Def:45%,,TD Avg.:1.67,TD Acc.:28%,TD Def.:0%,Sub. Avg.:1.7,"
"
 Houston Dorr Record: 1-2-0,"Height:6' 1""",Weight:210 lbs.,Reach:--,STANCE:Orthodox,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Rafael Dos Anjos Record: 30-13-0,"Height:5' 8""",Weight:155 lbs.,"Reach:70""",STANCE:Southpaw,"DOB:Oct 26, 1984  ",SLpM:3.49,Str. Acc.:46%,SApM:3.22,Str. Def:61%,,TD Avg.:1.93,TD Acc.:37%,TD Def.:58%,Sub. Avg.:0.6,"
"
 Junior Dos Santos Record: 21-9-0,"Height:6' 4""",Weight:238 lbs.,"Reach:77""",STANCE:Orthodox,"DOB:Jan 30, 1984  ",SLpM:4.49,Str. Acc.:47%,SApM:3.33,Str. Def:56%,,TD Avg.:0.30,TD Acc.:50%,TD Def.:81%,Sub. Avg.:0.1,"
"
 Geronimo dos Santos Record: 39-19-0,"Height:6' 3""",Weight:264 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 17, 1980  ",SLpM:1.09,Str. Acc.:33%,SApM:8.73,Str. Def:41%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:33%,Sub. Avg.:0.0,"
"
 Antonio Dos Santos Record: 6-4-0,"Height:5' 10""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:Jul 21, 1988  ",SLpM:5.40,Str. Acc.:51%,SApM:3.94,Str. Def:43%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:100%,Sub. Avg.:0.0,"
"
 Anderson Dos Santos Record: 21-9-0,"Height:5' 5""",Weight:135 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Jul 24, 1985  ",SLpM:2.70,Str. Acc.:25%,SApM:5.37,Str. Def:49%,,TD Avg.:0.98,TD Acc.:14%,TD Def.:66%,Sub. Avg.:0.7,"
"
 Tiago dos Santos e Silva Record: 20-7-2 (1 NC),"Height:5' 9""",Weight:145 lbs.,"Reach:70""",STANCE:Orthodox,"DOB:Apr 12, 1987  ",SLpM:3.69,Str. Acc.:35%,SApM:4.23,Str. Def:59%,,TD Avg.:0.63,TD Acc.:11%,TD Def.:33%,Sub. Avg.:0.3,"
"
 Oleksandr Doskalchuk Record: 10-2-0,"Height:5' 6""",Weight:125 lbs.,Reach:--,STANCE:Southpaw,"DOB:Mar 13, 1990  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 David Douglas Record: 9-7-0,"Height:5' 11""",Weight:155 lbs.,Reach:--,STANCE:  ,"DOB:Aug 16, 1981  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Damion Douglas Record: 4-1-0,Height:--,Weight:170 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 John Dowdy Record: 0-1-0,Height:--,Weight:--,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Jordan Dowdy Record: 4-3-0,Height:--,Weight:170 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:2.11,Str. Acc.:44%,SApM:2.63,Str. Def:50%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Danny Downes Record: 8-3-0,"Height:6' 0""",Weight:155 lbs.,"Reach:72""",STANCE:Orthodox,"DOB:Apr 08, 1986  ",SLpM:1.66,Str. Acc.:34%,SApM:3.53,Str. Def:37%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:37%,Sub. Avg.:0.5,"
"
 Derek Downey Record: 11-4-0,"Height:6' 1""",Weight:185 lbs.,Reach:--,STANCE:Orthodox,"DOB:Apr 27, 1980  ",SLpM:0.32,Str. Acc.:100%,SApM:3.36,Str. Def:12%,,TD Avg.:2.40,TD Acc.:16%,TD Def.:0%,Sub. Avg.:0.0,"
"
 John Doyle Record: 11-22-0 (1 NC),"Height:5' 11""",Weight:205 lbs.,Reach:--,STANCE:Orthodox,"DOB:Nov 21, 1976  ",SLpM:3.50,Str. Acc.:44%,SApM:10.51,Str. Def:27%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Edson Drago Record: 11-7-0,"Height:6' 4""",Weight:220 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 29, 1977  ",SLpM:1.16,Str. Acc.:40%,SApM:2.39,Str. Def:36%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:55%,Sub. Avg.:0.0,"
"
 Kyle Driscoll Record: 12-3-0,"Height:5' 11""",Weight:145 lbs.,"Reach:74""",STANCE:Orthodox,"DOB:Sep 23, 1994  ",SLpM:2.73,Str. Acc.:32%,SApM:2.60,Str. Def:58%,,TD Avg.:2.00,TD Acc.:18%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Chris Drumm Record: 0-1-0 (1 NC),"Height:5' 8""",Weight:145 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Tomasz Drwal Record: 21-5-1,"Height:6' 1""",Weight:205 lbs.,"Reach:76""",STANCE:Orthodox,"DOB:Jan 22, 1982  ",SLpM:3.29,Str. Acc.:38%,SApM:2.26,Str. Def:57%,,TD Avg.:3.55,TD Acc.:60%,TD Def.:82%,Sub. Avg.:0.4,"
"
 Robert Drysdale Record: 7-0-0 (1 NC),"Height:6' 3""",Weight:205 lbs.,Reach:--,STANCE:Orthodox,"DOB:Oct 05, 1981  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:7.32,TD Acc.:100%,TD Def.:0%,Sub. Avg.:21.9,"
"
 Dricus Du Plessis Record: 16-2-0,"Height:6' 1""",Weight:185 lbs.,"Reach:76""",STANCE:Switch,"DOB:Jan 14, 1994  ",SLpM:5.07,Str. Acc.:48%,SApM:2.39,Str. Def:68%,,TD Avg.:2.99,TD Acc.:50%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Hugo Duarte Record: 6-3-0,"Height:6' 0""",Weight:240 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 09, 1968  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Antonio Duarte Record: 19-7-0,"Height:5' 7""",Weight:135 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:4.55,Str. Acc.:40%,SApM:4.18,Str. Def:57%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:60%,Sub. Avg.:0.0,"
"
 Joe Duarte Record: 10-4-0,Height:--,Weight:155 lbs.,Reach:--,STANCE:  ,"DOB:Jan 25, 1977  ",SLpM:2.27,Str. Acc.:38%,SApM:4.00,Str. Def:53%,,TD Avg.:3.00,TD Acc.:50%,TD Def.:69%,Sub. Avg.:1.0,"
"
 Milana Dudieva Record: 11-6-0,"Height:5' 3""",Weight:135 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 04, 1989  ",SLpM:0.87,Str. Acc.:31%,SApM:3.43,Str. Def:58%,,TD Avg.:2.34,TD Acc.:45%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Adin Duenas Record: 6-1-0,"Height:5' 6""",Weight:145 lbs.,Reach:--,STANCE:  ,"DOB:Jul 02, 1988  ",SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Todd Duffee Record: 9-3-0 (1 NC),"Height:6' 3""",Weight:260 lbs.,"Reach:78""",STANCE:Orthodox,"DOB:Dec 06, 1985  ",SLpM:5.93,Str. Acc.:37%,SApM:2.87,Str. Def:56%,,TD Avg.:0.72,TD Acc.:25%,TD Def.:90%,Sub. Avg.:0.0,"
"
 Joe Duffy Record: 16-5-0,"Height:5' 10""",Weight:155 lbs.,"Reach:73""",STANCE:Orthodox,"DOB:Feb 18, 1988  ",SLpM:2.68,Str. Acc.:34%,SApM:3.78,Str. Def:54%,,TD Avg.:0.96,TD Acc.:66%,TD Def.:64%,Sub. Avg.:0.7,"
"
 Alexis Dufresne Record: 6-3-0,"Height:5' 9""",Weight:135 lbs.,Reach:--,STANCE:Orthodox,"DOB:Aug 31, 1990  ",SLpM:1.33,Str. Acc.:27%,SApM:3.33,Str. Def:60%,,TD Avg.:1.50,TD Acc.:50%,TD Def.:50%,Sub. Avg.:0.0,"
"
 Jessamyn Duke Record: 3-5-0 (1 NC),"Height:5' 11""",Weight:135 lbs.,"Reach:73""",STANCE:Orthodox,"DOB:Jun 24, 1986  ",SLpM:4.83,Str. Acc.:53%,SApM:4.43,Str. Def:57%,,TD Avg.:1.27,TD Acc.:36%,TD Def.:50%,Sub. Avg.:1.9,"
"
 Kelly Dullanty Record: 4-2-0,"Height:5' 8""",Weight:155 lbs.,Reach:--,STANCE:Orthodox,"DOB:Nov 04, 1977  ",SLpM:0.00,Str. Acc.:0%,SApM:0.67,Str. Def:75%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:66%,Sub. Avg.:0.0,"
"
 Norma Dumont Record: 6-1-0,"Height:5' 7""",Weight:145 lbs.,"Reach:67""",STANCE:Orthodox,"DOB:Oct 01, 1990  ",SLpM:4.98,Str. Acc.:53%,SApM:2.86,Str. Def:67%,,TD Avg.:1.79,TD Acc.:40%,TD Def.:100%,Sub. Avg.:0.0,"
"
 Chris Duncan Record: 7-0-0,"Height:6' 0""",Weight:155 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:0.00,Str. Acc.:0%,SApM:0.00,Str. Def:0%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:0%,Sub. Avg.:0.0,"
"
 Evan Dunham Record: 18-9-1,"Height:5' 10""",Weight:155 lbs.,"Reach:70""",STANCE:Southpaw,"DOB:Dec 18, 1981  ",SLpM:5.33,Str. Acc.:39%,SApM:3.54,Str. Def:61%,,TD Avg.:1.82,TD Acc.:33%,TD Def.:79%,Sub. Avg.:1.0,"
"
 Alex Dunworth Record: 2-2-0 (1 NC),"Height:5' 8""",Weight:155 lbs.,Reach:--,STANCE:  ,DOB:--  ,SLpM:1.94,Str. Acc.:31%,SApM:8.71,Str. Def:35%,,TD Avg.:0.00,TD Acc.:0%,TD Def.:50%,Sub. Avg.:0.0,"
"
